Country Name,Indicator,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United Kingdom,CO2 emissions (kt),653063.364,660863.073,648486.948,660034.331,617607.141,603643.205,598912.775,604746.972,605084.336,644893.288,579290.658,560819.979,548520.861,545741.275,529335.117,559855.558,568777.369,571868.65,570464.189,581721.879,555924.534,566830.192,556280.233,545711.939,546738.699,538117.582,551436.126,527343.936,531905.684,530937.596,541784.582,545862.286,528642.054,540006.087,539239.684,542580.321,541458.219,528425.701,520688.331,471719.213,493207.833,447828.708,468572.927,458250.322,419820.162,419820.162,419820.162
Indonesia,CO2 emissions (kt),35822.923,38987.544,43340.273,49134.133,51260.993,53963.572,61810.952,82434.16,93933.872,95096.311,94784.616,100160.438,105407.915,104956.874,112184.531,121245.688,121740.733,123372.548,132162.347,130966.905,149565.929,179730.671,202576.081,218600.871,221413.46,224941.114,253290.691,278658.997,214200.471,241988.997,263418.945,294907.474,306737.216,316792.13,337635.358,341991.754,345119.705,375544.804,416560.199,446409.579,428760.308,603665.207,637078.911,490226.562,464176.194,464176.194,464176.194
India,CO2 emissions (kt),195143.072,205869.047,217849.136,224343.393,231992.755,252201.592,263785.645,279051.366,283096.067,296891.321,314016.211,338838.134,349637.449,378669.088,388118.947,426673.785,457571.927,488481.07,527563.956,579008.299,619154.615,658189.83,699087.881,723697.118,764730.848,811562.105,882324.204,917685.085,936221.77,995766.516,1031853.463,1041152.975,1054258.833,1099597.621,1154320.262,1222563.132,1303717.509,1407607.286,1568379.567,1738645.711,1719690.988,1841776.419,2018503.817,2034752.294,2238377.137,2238377.137,2238377.137
Italy,CO2 emissions (kt),296740.974,311588.657,328970.237,354320.208,359406.337,342310.783,367312.389,356175.71,373234.594,387466.221,388969.691,378020.029,369681.271,361364.515,367649.753,372134.494,366454.311,383670.876,389780.098,408907.17,417550.289,423894.199,420535.227,411917.777,407378.031,430483.798,425830.375,430487.465,440153.677,441998.178,450564.29,450347.937,452610.476,468349.24,473970.751,473384.031,469346.664,462676.391,447186.983,401591.505,405361.181,397994.178,369468.585,345317.723,320411.459,320411.459,320411.459
Japan,CO2 emissions (kt),768823.22,797543.164,853373.239,915748.909,915873.587,870072.757,908902.62,935213.345,903886.164,955620.2,947571.135,929606.502,900200.829,883838.675,940130.792,915396.877,915334.538,905734.332,989081.575,1025549.89,1096179.977,1099381.268,1123847.492,1109887.223,1173315.322,1183447.243,1204690.174,1200788.486,1157829.581,1196516.431,1220527.947,1203377.388,1220047.57,1242093.574,1266009.748,1239255.316,1231495.944,1252229.162,1210135.669,1103869.676,1171624.835,1191074.603,1230168.49,1246515.976,1214048.358,1214048.358,1214048.358
South Korea,CO2 emissions (kt),53783.889,58616.995,60336.818,73094.311,75686.88,81829.105,93306.815,105712.276,113405.642,133211.109,134868.593,139742.036,141905.566,150904.384,163911.233,178333.544,182451.585,192660.513,221959.843,235846.772,246943.114,261482.769,284280.508,321951.599,344037.94,374771.067,403780.704,430032.757,364833.497,399864.348,447561.017,450193.923,465631.993,466215.046,482276.506,462922.08,470655.783,495675.724,507589.807,508862.256,566716.515,589400.577,583966.083,592499.192,587156.373,587156.373,587156.373
Mexico,CO2 emissions (kt),114073.036,126339.151,132459.374,144292.783,155007.757,164472.284,184138.405,192847.53,222649.239,240874.229,268453.736,284529.864,304837.71,278442.644,277624.903,288501.225,294559.109,307356.939,307067.246,361877.895,318427.612,331958.842,334698.091,339468.858,352780.068,332816.92,346417.823,369769.279,389087.035,391591.596,398382.88,412977.54,414389.335,440208.682,441308.782,466361.726,479251.231,480520.013,493251.837,475950.931,464308.206,484429.035,496324.783,490340.239,480270.657,480270.657,480270.657
Russian Federation,CO2 emissions (kt),2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,2078668.286,1938445.873,1698378.384,1631473.969,1612966.62,1526011.049,1495505.276,1531130.181,1557899.281,1557506.912,1557085.207,1604242.827,1602115.967,1615089.813,1669262.404,1666886.188,1714978.893,1574045.082,1670531.186,1763405.295,1830830.424,1778561.006,1705345.684,1705345.684,1705345.684
Saudi Arabia,CO2 emissions (kt),45291.117,59808.77,70344.061,95136.648,98788.98,83336.242,101550.231,118176.409,115132.799,138135.89,169404.399,175491.619,158091.704,161050.973,155715.488,172653.361,204878.957,190706.002,202554.079,203738.52,185803.223,267768.007,285534.622,313818.193,307961.994,235161.043,258750.854,216239.323,207680.545,226459.252,296935.325,297214.017,326407.004,327272.416,395834.315,397642.146,432739.003,387777.916,430175.77,468965.296,518491.798,499878.106,564842.678,541047.515,601046.969,601046.969,601046.969
Turkey,CO2 emissions (kt),42639.876,47733.339,53857.229,59486.074,61136.224,65697.972,73721.368,81572.415,77256.356,75576.87,75763.887,79874.594,86988.574,90541.897,95796.708,106717.034,116881.958,129907.142,126309.815,139316.664,145858.592,148619.843,153108.251,159136.799,156848.591,171974.966,188205.108,198535.047,200614.236,196771.22,216151.315,194552.685,205685.697,218523.864,225421.491,237390.579,261614.781,284658.209,283979.814,277844.923,298002.422,320840.498,329560.624,324771.522,345981.45,345981.45,345981.45
