country,country_code,category,ind_name,ind_code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2018
Indonesia,IDN,Population,"Population, total",SP.POP.TOTL,90098394,90098394,114793178,130680727,147447836,164982451,181413402,196934260,211513823,226289470,241834215,258383256,261554226,264645886
India,IND,Population,"Population, total",SP.POP.TOTL,459642165,459642165,555189792,623102897,698952844,784360008,873277798,963922588,1056575549,1147609927,1234281170,1310152403,1324509589,1338658835
Italy,ITA,Population,"Population, total",SP.POP.TOTL,50536350,50536350,53821850,55441001,56433883,56593071,56719240,56844303,56942108,57969484,59277417,60730582,60627498,60536709
Japan,JPN,Population,"Population, total",SP.POP.TOTL,94943000,94943000,104345000,111940000,116782000,120754000,123537000,125439000,126843000,127773000,128070000,127141000,126994511,126785797
South Korea,KOR,Population,"Population, total",SP.POP.TOTL,25765673,25765673,32240827,35280725,38123775,40805744,42869283,45092991,47008111,48184561,49554112,51014947,51245707,51466201
Mexico,MEX,Population,"Population, total",SP.POP.TOTL,38966056,38966056,51493565,59607953,67761372,75983485,83943132,91663285,98899845,106005203,114092963,121858258,123333376,124777324
Russian Federation,RUS,Population,"Population, total",SP.POP.TOTL,121236000,121236000,130404000,134200000,139010000,143858000,148292000,148375726,146596557,143518523,142849449,144096870,144342396,144496740
Saudi Arabia,SAU,Population,"Population, total",SP.POP.TOTL,4218853,4218853,5836389,7419493,9691476,13118993,16233785,18638787,20663843,23816183,27421461,31717667,32442572,33099147
Turkey,TUR,Population,"Population, total",SP.POP.TOTL,28146910,28146910,34876303,39277258,43975971,49133937,53921760,58486456,63240194,67903469,72326988,78529409,79821724,81101892
United States,USA,Population,"Population, total",SP.POP.TOTL,183691000,183691000,205052000,215973000,227225000,237924000,249623000,266278000,282162411,295516599,309326085,320742673,323071342,325147121
South Africa,ZAF,Population,"Population, total",SP.POP.TOTL,17524533,17524533,22069776,25195187,28556769,32678874,36800509,41435758,44967708,47880601,51216964,55386367,56203654,57000451
Argentina,ARG,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,221957.023,221957.023,221957.023,233416.77,253870.99,238145.75,266555.03,275096.4092,331450.87,358385.64,364684.2538,377445.2445,396410.677,415376.1096
Australia,AUS,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,319036.599,319036.599,319036.599,377568.654,433837.438,456717.644,482298.262,489294.147,1081244.41,909262.03,782102.6922,990268.1208,1069847.037,1149425.952
Brazil,BRA,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1260982.146,1260982.146,1260982.146,1214606.743,1499555.516,1322535.347,1606209.334,1574445.629,1222630.43,2386439.68,2902242.618,2480399.783,2643376.463,2806353.144
Canada,CAN,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,494973.635,494973.635,494973.635,529890.87,711937.51,576740.45,608685,836025.63,760643,849798.74,764137.6753,880848.8287,920733.4276,960618.0265
China,CHN,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1873971.675,1873971.675,1873971.675,2264422.92,2757430.09,3142896.374,3892675.16,5042349.12,5082325.6,7803535.6,11183810.6,9816430.03,10823195.65,11829961.28
German,DEU,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1286569.85,1286569.85,1286569.85,1273609.66,1354782.98,1301253.1,1256074.03,1131718.77,1016295.545,981287.6843,948006.7542,915700.3045,864404.846,813109.3875
European Union,EUU,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,5435016.121,5435016.121,5435016.121,5732401.553,6212891.968,5931757.883,5692720.793,5324011.907,5121050.564,5183933.055,4847306.347,4932259.462,4819131.573,4706003.683
France,FRA,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,614501.57,614501.57,614501.57,634882.235,675156.85,561940.72,554685.28,543013.14,559922.199,557130.1263,532133.0404,513807.7406,500272.2852,486736.8298
United Kingdom,GBR,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,839587.41,839587.41,839587.41,809418.44,806582.53,766610.11,777244.23,728336.09,673897.408,659108.0918,609586.561,601604.0936,573694.4485,545784.8034
Indonesia,IDN,CO2 & Methane Emissions,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,339677.08,339677.08,339677.08,329119.33,714214.48,745108.85,1165113.41,1315570.67,622464.65,1171042.59,744790.0241,1171887.652,1247440.714,1322993.776
