Index,Country Name,Country Code,classes,Indicator Name,Indicator Code,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018
21,Argentina,ARG,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1378290,1364340,1348750,1332970,1317800,1309480,1297030,1292350,1293020,1292800,1291540,1290280,1289020,1287760,1286500,1285240,1283980,1282720,1281460,1280200,1278940,1287690,1286440,1285170,1283910,1282650,1279390,1273800,1274700,1275650,1276600,1277550,1278500,1279480,1280450,1281420,1282350,1283300,1284120,1285100,1286060,1287100,1308835,1343450,1377975,1411040,1440330,1442610,1437920,1474810,1482810,1492540,1491990,1487000,1487000,1487000,,
22,Australia,AUS,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,4615850,4636880,4664710,4690090,4729760,4741540,4767280,4748210,4789430,4817870,4832530,4844570,4870170,4877270,4868370,4877730,4786110,4765300,4804770,4829260,4827410,4780810,4711250,4730390,4729600,4708850,4710200,4722830,4670770,4644810,4629740,4661780,4602860,4691000,4633480,4652210,4622000,4637860,4537290,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800,4096725.938,4054740,3966153.125,4062690,3659130,3710780,,
23,Brazil,BRA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1505310,1559130,1615110,1660410,1703950,1750940,1795890,1852230,1937780,1953970,1996320,2028370,2058610,2100430,2134160,2160070,2185500,2200390,2225130,2242780,2258240,2281360,2288210,2299240,2310410,2340550,2357910,2376870,2394320,2416080,2449410,2467090,2494630,2514180,2584720,2590190,2595660,2601120,2607590,2614060,2634650,2658680,2684690,2721320,2724325.938,2727840,2716380,2735000,2735400,2734630,2753730,2756070,2795620,2835790,2840830,2835460,,
24,Canada,CAN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,698250,699530,700810,702080,703370,704640,701040,697430,693820,690210,686610,686130,685660,685190,684720,684250,679180,674110,669030,663960,658890,662760,666640,670510,674390,678250,678120,677980,677820,677680,677530,678140,678740,679340,679940,680550,679440,678340,677230,676130,675020,675170,675350,675510,675690,659540,652823.9844,646108.0078,639401.9922,632686.0156,625970,626118.0078,626266.0156,626413.9844,626561.9922,626710,,
25,China,CHN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,3423500,3451000,3479500,3508000,3546000,3582000,3618000,3654000,3700000,3746000,3792500,3838700,3894800,3961000,4007100,4066600,4126000,4184700,4231900,4276040,4329090,4425180,4529280,4645370,4763470,4824560,4877660,4933750,4994850,5056940,5113790,5143140,5182230,5228330,5228330,5228720,5233330,5236830,5231330,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500,5145530,5145530,5145530,5145530,5278330,5277330,,
26,Germany,DEU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,193750,193930,194020,194580,195340,195310,194120,192850,192540,190230,189520,189490,188970,188210,187920,187580,187090,186590,185940,185190,184610,183960,183300,182840,182440,182080,181250,180970,180560,180320,171360,169510,171620,173080,173430,173370,173270,173730,171520,170680,170340,169670,170010,170130,170310,169460,169500,169210,168860,167000,167190,166640,166970,167250,167310,166570,,
27,European Union,EUU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,2101850.999,2099241.001,2093893,2086571.001,2078347,2073773.999,2071770.999,2062914.001,2062296.001,2041680,2020915.999,2013938,2006505.001,2001457,1995956.001,1990212.999,1987283.002,1986722.001,1981558.999,1976655,1972269.998,1969633.999,1958072.998,1955548.999,1951546.999,1947683.999,1945714,1940339,1935527.005,1929663.007,1896398.003,1988824.008,2045767.007,2040433.004,2023283.993,2020758.008,2015593.997,2009245.999,2003948.995,1998270.802,1975250.21,1956929.191,1938698.095,1928508.105,1926754.305,1918584.592,1895033.195,1899331.2,1885815.008,1873627.004,1863397.693,1854247.208,1843733.475,1827078.701,1824429.299,1815078.892,,
28,France,FRA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,345390,344400,343540,341090,340010,338460,336290,331780,331730,324950,326230,325150,324600,324420,323570,320210,319100,319610,318340,317220,316870,316460,315650,315080,314420,313950,313530,308300,307409.0039,305928.0078,304849.0039,303843.0078,302913.0078,302049.0039,301501.9922,300963.0078,300395.9961,299800,299290.9961,298074.0039,297133.0078,296106.9922,295345.9961,294584.0039,293904.0039,293126.9922,292060.9961,291100.9961,290199.0039,289263.0078,288785.9961,288448.0078,287736.9922,287665,287269.0039,287180.1953,,
29,United Kingdom,GBR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,198000,197790,197470,197030,195850,195500,195540,194260,193800,188490,188430,187560,186960,186380,185830,185680,184900,184780,184520,184690,183200,182810,182160,182020,181680,181300,181160,184230,183060,182030,181430,180700,175340,174090,173790,174940,175850,175180,172190,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,172501.9922,172320,171380,173499.8047,,
30,Indonesia,IDN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,386000,386000,385500,385500,385000,384500,384500,384500,384000,384000,383500,383500,383000,383000,382560,380460,380460,380460,380000,380000,379500,379500,379000,370520,396790,412920,434850,441370,444350,450830,415240,413510,420160,419710,429780,429680,435270,438770,458770,471770,477000,481810,510060,533660,518460,515000,530000,540000,556000,556000,565000,565000,570000,570000,570000,570000,,
31,India,IND,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1749520,1764820,1761540,1767120,1771770,1775300,1778070,1783640,1777920,1780520,1778170,1779460,1787510,1792820,1796940,1796490,1795910,1805920,1805800,1802720,1804010,1807710,1804620,1814520,1813400,1811920,1815430,1810910,1815010,1814130,1815860,1813050,1813820,1812910,1809450,1805890,1809810,1808740,1810210,1809750,1804870,1805600,1802490,1803750,1801260,1799060,1796200,1797570,1800680,1795730,1796700,1796420,1796980,1797210,1797210,1797210,,
32,Italy,ITA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,206830,206520,205100,204620,204400,204050,203790,203550,202270,201800,176490,175080,174820,175020,175170,175290,175010,175890,176080,175620,175510,175360,172600,172440,170950,170420,170120,168390,168500,168400,160540,159780,159100,157020,153330,153490,153450,154840,157990,156370,155020,152730,149070,148830,147360,142030,141620,144572.002,139824.0039,143277.998,138525.9961,137290,136300,131620,129450,127170,,
33,Japan,JPN,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,71100,71200,70200,70300,70040,68960,68380,67970,66520,66960,65410,64840,64470,64150,62730,62360,62150,61940,61740,60610,60420,60260,60110,59960,58790,58580,58400,58170,57290,56930,56540,56150,55740,55330,54430,53990,53540,53100,52710,52580,47930,47630,47360,47140,46920,46710,46500,46280,46090,45930,45610,45490,45380,45180,44960,44710,,
34,"Korea, Rep.",KOR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,21130,20810,21000,21910,22780,23150,23360,23430,23370,23240,22990,22700,22710,22680,22720,22700,22670,22630,22520,22470,22450,22430,22360,22290,22200,22170,22190,22140,21970,21790,21610,21360,21180,20960,20480,20080,19830,19690,19540,19730,19450,19190,19020,18930,18810,18580,18400,18170,17950,17730,17560.99976,17880,17686.99951,17483.00049,17360,17008.00049,,
35,Mexico,MEX,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,983160,981790,981090,980490,979790,979140,978390,977690,977090,976350,969380,971500,974000,975510,975510,975510,976010,981980,979980,981800,982100,983150,1010200,1010305,1014350,1014410,1025500,1030510,1040500,1051510,1061540,1061770,1061800,1061900,1061950,1063100,1063100,1063250,1063260,1063300,1065500,1065500,1065500,1065700,1065700,1065700,1067000,1066150,1066150,1066150,1066150,1066150,1068580,1069260,1067280,1062360,,
36,Russian Federation,RUS,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216310,2187950,2177110,2164000,2161110,2179890,2172870,2167900,2171620,2168610,2166510,2162770,2159800,2156800,2154880,2154630,2154940,2154500,2139520,2146500,2143500,2168400,2177218.125,2177218.125,2177218.125,,
37,Saudi Arabia,SAU,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,861700,861900,862120,862410,862620,862840,863040,863400,863750,864200,864670,865170,865700,866400,866840,867500,868040,868560,869090,869620,870130,870680,872700,924230,976250,1027800,1079800,1131300,1182900,1234810,1236720,1237460,1307850,1377850,1447850,1517850,1587850,1667850,1737850,1737850,1737910,1737930,1737980,1737090,1737170,1736740,1736750,1735720,1734350,1734060,1733880,1733450,1732950,1735752.969,1736354.063,1736190,,
38,Turkey,TUR,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,365170,366480,373700,372920,372960,374840,373000,376010,386430,381780,383140,388260,387870,383280,379620,379030,380290,380450,388920,385790,386130,371910,367180,376130,381300,384830,394270,392630,398970,396770,400670,399040,399130,401490,394930,393640,392420,399190,403020,404790,409680,411960,406440,412100,412230,404930,395050,391220,389110,390120,382470,384070,384230,385610,385460,383270,,
39,United States,USA,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,4475090,4439910,4414430,4390120,4358730,4355500,4353070,4357950,4354470,4344000,4333000,4323000,4312000,4301580,4301580,4301580,4303310,4281630,4281630,4281630,4281630,4313990,4313990,4313990,4313990,4313990,4269480,4269480,4269480,4269480,4269480,4254290,4229480,4211390,4201390,4163060,4148850,4145880,4138870,4143990,4149440,4130640,4139250,4115210,4117840,4092148.125,4128575.938,4133125.938,4099606.875,4084261.875,4046693.125,4087065,4058416.875,4078655,4058625,4058625,,
40,South Africa,ZAF,Agricultural,Agricultural land (sq. km),AG.LND.AGRI.K2,1013350,1001350,989950,977500,966100,964450,961800,959900,957900,955900,953900,951950,949900,948050,945850,943820,943200,942800,942100,941600,941000,940330,940330,940330,940330,944000,946500,949000,953000,956000,960050,964730,969360,972650,975200,978900,979450,979880,980580,981250,980130,980280,979280,976080,974830,968880,968900,971080,969880,968910,963740,968410,968410,968410,968410,968410,,
41,Argentina,ARG,Agricultural,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.478382229,6.097128948
