CountryName,Indicator_Name,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,MEAN,Median,STDEV.P,Q25,Q50,Q75
Mexico,CO2_emissions_(kt),318427.612,331958.842,334698.091,339468.858,352780.068,332816.92,346417.823,369769.279,389087.035,391591.596,398382.88,412977.54,414389.335,440208.682,441308.782,466361.726,479251.231,480520.013,493251.837,475950.931,464308.206,484429.035,496324.783,411073.0915,412977.54,60067.35369,346417.823,412977.54,475950.931
SaudiArabia,CO2_emissions_(kt),185803.223,267768.007,285534.622,313818.193,307961.994,235161.043,258750.854,216239.323,207680.545,226459.252,296935.325,297214.017,326407.004,327272.416,395834.315,397642.146,432739.003,387777.916,430175.77,468965.296,518491.798,499878.106,564842.678,341276.2107,313818.193,104473.401,258750.854,313818.193,430175.77
Turkey,CO2_emissions_(kt),145858.592,148619.843,153108.251,159136.799,156848.591,171974.966,188205.108,198535.047,200614.236,196771.22,216151.315,194552.685,205685.697,218523.864,225421.491,237390.579,261614.781,284658.209,283979.814,277844.923,298002.422,320840.498,329560.624,220604.3285,205685.697,55267.71979,171974.966,205685.697,277844.923
UnitedStates,CO2_emissions_(kt),4823403.118,4820847.219,4909533.614,5028674.444,5094354.081,5132919.92,5252112.088,5368715.354,5401010.623,5504669.379,5693684.894,5595794.329,5641309.133,5675701.926,5756075.232,5789727.291,5697285.888,5789030.561,5614110.994,5263505.457,5395532.125,5289680.503,5119436.361,5376396.284,5395532.125,306783.7562,5119436.361,5395532.125,5675701.926
SouthAfrica,CO2_emissions_(kt),313304.813,326410.671,301687.757,321049.517,339168.164,362259.263,364400.791,386131.433,377726.669,375236.776,378665.421,372042.819,356637.752,404459.099,450186.589,416915.898,447894.714,466578.079,496772.157,503112.4,474099.096,470582.443,468770.945,398873.6203,378665.421,60563.26703,356637.752,378665.421,466578.079
Argentina,Forest_area_(sq._km),347930,344996.9922,342063.9844,339131.0156,336198.0078,333265,330331.9922,327399.0039,324465.9961,321533.0078,318600,315251.9922,311904.0039,308555.9961,305208.0078,301860,298680,295500,292320,289140,285960,282991.9922,280024.0039,314491.7824,315251.9922,20695.12736,295500,315251.9922,333265
Australia,Forest_area_(sq._km),1285410,1285710,1286010,1286310,1286610,1286910,1287210,1287510,1287810,1288110,1288410,1286010,1283610,1281210,1278810,1276410,1267550,1258690,1249830,1240970,1232110,1235190,1238270,1273246.522,1285410,19377.82386,1258690,1285410,1286910
Brazil,Forest_area_(sq._km),5467050,5441618.75,5416188.125,5390756.875,5365326.25,5339895,5314463.75,5289033.125,5263601.875,5238170.938,5212740,5183660,5154580,5125500,5096420,5067340,5050788.125,5034235.938,5017684.063,5001131.875,4984580,4974740,4964900,5191061.073,5183660,160939.7503,5034235.938,5183660,5339895
Canada,Forest_area_(sq._km),3482730,3482259.063,3481788.125,3481316.875,3480845.938,3480375,3479904.063,3479433.125,3478961.875,3478490.938,3478020,3477568.125,3477115.938,3476664.063,3476211.875,3475760,3475211.875,3474664.063,3474115.938,3473568.125,3473020,3472554.063,3472088.125,3477507.269,3477568.125,3195.596334,3474664.063,3477568.125,3480375
China,Forest_area_(sq._km),1571405.938,1591265.938,1611125.781,1630985.625,1650845.625,1670705.469,1690565.469,1710425.313,1730285.156,1750145.156,1770005,1802091.875,1834178.594,1866265.469,1898352.188,1930439.063,1945571.875,1960704.531,1975837.344,1990970.156,2006102.969,2021525,2036947.031,1810728.112,1802091.875,150214.1484,1670705.469,1802091.875,1960704.531
